n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
577571.869773951,585636.4588442547,585637.1631458354,585637.1635246605,585637.1635296593,585637.1635296604,3178584.7638492575,327172.2193458817,0.0008471109818975962,7.100110704161459e-22,0.026926140603490835,2.771511799797056e-06,12.0
577571.3787549998,585636.5511178544,585637.2554564922,585637.2558353293,585637.2558403283,585637.2558403295,3178584.7345058103,327172.2193428614,0.0010033316339628886,9.845686106378712e-22,0.031891746153612094,3.282622374205377e-06,13.0
577570.7975467957,585636.6603393303,585637.3647230278,585637.36510188,585637.3651068792,585637.3651068803,3178584.699772477,327172.2193392863,0.0011869633345470926,1.3625045980120378e-21,0.03772863494382309,3.88341428438132e-06,14.0
577570.1104041436,585636.7894672701,585637.4939056814,585637.4942845529,585637.4942895522,585637.4942895534,3178584.658708266,327172.2193350596,0.0014025648237390518,1.881206768875297e-21,0.04458171031580814,4.588802461439922e-06,15.0
577569.2989489476,585636.941954958,585637.6464597182,585637.646838614,585637.6468436137,585637.6468436149,3178584.610214826,327172.21933006815,0.001655420881523753,2.5915880962883628e-21,0.05261895337439663,5.4160772373346416e-06,16.0
577568.3417652744,585637.1218264556,585637.8264115708,585637.8267904973,585637.8267954973,585637.8267954985,3178584.5530122477,327172.21932418033,0.0019516272097941294,3.562462407441033e-21,0.06203412102290013,6.385182055218031e-06,17.0
577567.2139603732,585637.3337590676,585638.0384413727,585638.038820338,585638.0388253384,585638.0388253395,3178584.4856128236,327172.21931724285,0.0022982299159992415,4.886115759669143e-21,0.07305117955366452,7.519169821187524e-06,18.0
577565.8866269859,585637.5831843561,585638.2879840581,585638.2883630722,585638.2883680732,585638.2883680743,3178584.4062889125,327172.21930907806,0.00270336328726088,6.687194554708057e-21,0.08592868389421368,8.844653662918268e-06,19.0
577564.3262113747,585637.87640687,585638.5813481928,585638.5817272682,585638.5817322698,585638.581732271,3178584.313035167,327172.21929947945,0.003176391965534395,9.132624814776332e-21,0.10096429673698569,1.0392272087289236e-05,20.0
577562.4938026158,585638.2207376565,585638.9258496044,585638.9262287567,585638.9262337593,585638.9262337604,3178584.203526052,327172.21928820765,0.0037280989596788702,1.2445924406507791e-20,0.11850076462417167,1.2197304103641942e-05,21.0
577560.3443303164,585638.6246449769,585639.3299622361,585639.3303414845,585639.3303464884,585639.3303464896,3178584.075067898,327172.21927498543,0.0043708837297405405,1.6925782803697095e-20,0.1389322141732666,1.4300317300521382e-05,22.0
577557.8256488546,585639.0979263372,585639.8034903363,585639.8038697052,585639.8038747106,585639.8038747117,3178583.92454416,327172.219259492,0.0051189886235561075,2.2970105697994782e-20,0.1627113494875988,1.674790868332944e-05,23.0
577554.8774988541,585639.6519035737,585640.3577637335,585640.3581432527,585640.3581482599,585640.3581482611,3178583.7483533467,327172.21924135665,0.005988760960502167,3.1109035689161296e-20,0.19035778261825168,1.9593562139534927e-05,24.0
577551.4303060404,585640.2996484879,585641.0058636906,585641.0062433972,585641.0062484071,585641.0062484082,3178583.5423372285,327172.21922015137,0.00699894127457289,4.204661572023964e-20,0.22246719549142135,2.2898591489935275e-05,25.0
577547.4038241745,585641.0562377637,585641.7628780805,585641.7632580204,585641.7632630334,585641.7632630345,3178583.3016997217,327172.2191953825,0.008170990277742974,5.671534159285807e-20,0.2597217325518459,2.6733210221930636e-05,26.0
577542.7055830518,585641.9390444959,585642.6461932154,585642.6465734454,585642.6465784621,585642.6465784634,3178583.020914123,327172.2191664811,0.009529463070524838,7.634883604363477e-20,0.30290189514398413,3.11777558024864e-05,27.0
577537.2291374267,585642.9680671071,585643.6758231131,585643.676203703,585643.6762087247,585643.676208726,3178582.6936184447,327172.21913279255,0.011102429355584321,1.0257634790179926e-19,0.3528998980678171,3.632406450031583e-05,28.0
577530.8520799222,585644.1663025907,585644.874783145,585644.8751641813,585644.8751692092,585644.8751692105,3178582.3124966426,327172.2190935636,0.012921940282652445,1.375443217955569e-19,0.4107345082557693,4.227699877269911e-05,29.0
577523.4338083362,585645.5601658763,585646.2695098683,585646.269891457,585646.2698964926,585646.2698964939,3178581.8691451615,327172.2190479294,0.015024559211862396,1.840746994758125e-19,0.4775679150272373,4.915618377562029e-05,30.0
577514.812923325,585647.1799786101,585647.8903503661,585647.8907326377,585647.8907376829,585647.8907376842,3178581.3539173873,327172.21899489686,0.017451970589047815,2.4587873384191904e-19,0.5547250830346203,5.709799943452451e-05,31.0
